institution_number,institution_name,type,first_date,last_date,num_months
10599,AMERICAN CONTINENTAL MORTGAGE CORPORATIO,Originator,2010-05-01,2011-01-01,7
106,HONOR CREDIT UNION,Originator,2016-09-01,2025-06-01,75
106,HONOR CREDIT UNION,Sponsor,2017-12-01,2017-12-01,1
1060,"CORNERSTONE MORTGAGE PROVIDERS, LLC",Originator,2022-05-01,2025-06-01,31
10605,SAN JUAN MORTGAGE INC,Originator,2010-05-01,2011-05-01,12
10606,FIRSTMERIT MORTGAGE CORPORATION,Originator,2010-05-01,2012-12-01,32
10607,WASHINGTON TRUST COMPANY,Originator,2010-05-01,2011-02-01,10
1061,ATLANTIC HOME MORTGAGE LLC,Originator,2022-02-01,2023-09-01,14
10613,MECHANICS SAVINGS BANK,Originator,2011-10-01,2011-11-01,2
10623,AMERICAN BANCSHARES MORTGAGE CORP,Originator,2010-05-01,2010-09-01,4
10623,AMERICAN BANCSHARES MORTGAGE LLC,Originator,2011-01-01,2025-06-01,170
10623,AMERICAN BANCSHARES MORTGAGE LLC,Sponsor,2012-06-01,2024-07-01,5
10630,MONEY MORTGAGE CORP,Originator,2010-05-01,2011-06-01,13
10647,UNITED FAMILY MORTGAGE CORP,Originator,2010-05-01,2011-02-01,10
10648,DUNBAR MORTGAGE COMPANY LLC,Originator,2010-05-01,2011-03-01,10
1065,SHORE UNITED BANK,Originator,2021-11-01,2023-05-01,19
1065,"SHORE UNITED BANK, N.A.",Originator,2023-06-01,2025-06-01,25
10655,REAL ESTATE FINANCIAL SERVICES INC,Originator,2010-10-01,2010-11-01,2
10671,CROSSFIRE FINANCIAL NETWORK,Originator,2010-05-01,2023-06-01,154
10671,CROSSFIRE FINANCIAL NETWORK,Sponsor,2010-05-01,2019-11-01,12
10677,BREMER BANK NA,Originator,2010-05-01,2011-01-01,9
10685,COLORADO COMMUNITY BANK,Originator,2010-05-01,2010-11-01,5
107,LIBERTY HOME MORTGAGE CORPORATION,Originator,2015-02-01,2025-06-01,125
107,LIBERTY HOME MORTGAGE CORPORATION,Sponsor,2021-11-01,2024-08-01,6
1071,LINEAGE BANK,Originator,2022-06-01,2024-11-01,26
10711,SUN BEAM MORTGAGE CORP,Originator,2010-05-01,2010-05-01,1
10723,WORLD WIDE CREDIT CORPORATION,Originator,2010-05-01,2025-04-01,164
10724,AMERICAN HOME LOAN MORTGAGE CORPORATION,Originator,2010-06-01,2011-03-01,4
10725,PINNACLE BANK,Originator,2010-09-01,2010-09-01,1
10726,VIRGINIA CREDIT UNION INC,Originator,2010-09-01,2024-08-01,161
10726,VIRGINIA FEDERAL CREDIT UNION,Originator,2024-09-01,2025-06-01,10
10728,ASSURED FINANCIAL CORPORATION,Originator,2010-05-01,2011-03-01,11
10730,HERITAGE BANK NA,Originator,2010-05-01,2011-02-01,10
10733,BANKCHAMPAIGN NA,Originator,2010-05-01,2011-03-01,10
10734,FIRST COLLINSVILLE BANK,Originator,2010-05-01,2017-09-01,87
10734,FCB BANKS,Originator,2017-10-01,2025-06-01,90
10738,BANK EASTERN OREGON,Originator,2010-05-01,2011-02-01,9
10739,FIRST COMMUNITY BANK,Originator,2010-05-01,2025-06-01,180
1074,CITIZENS PROGRESSIVE BANK,Originator,2024-02-01,2025-06-01,16
10742,HOMEQUEST MORTGAGE CORPORATION,Originator,2010-06-01,2011-05-01,8
10744,PREMIER BANK,Originator,2010-05-01,2010-06-01,2
10744,PREMIER BANK,Sponsor,2010-11-01,2010-12-01,2
10747,KINGS MORTGAGE SERVICES INC,Originator,2010-05-01,2025-06-01,174
10747,KINGS MORTGAGE SERVICES INC,Sponsor,2012-03-01,2025-06-01,22
10749,CYPRESS FINANCIAL MTG AND INV,Originator,2010-06-01,2011-02-01,7
1076,EWISE HOME LENDING LLC,Originator,2022-05-01,2022-08-01,2
